"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"antigen-supporting-data","antigen-supporting-data","","","",0,*,"","","","null {[]} {[]}
","Antigen Supporting Data","A resource to store supporting data for antigens including target disease, vaccine groups, immunity criteria, contraindications, and vaccination series.","","","","","","","","","",,,,,"",,,,"Element",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a"
"antigen-supporting-data.id","antigen-supporting-data.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"antigen-supporting-data.extension","antigen-supporting-data.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"antigen-supporting-data.targetDisease","antigen-supporting-data.targetDisease","","","",0,1,"","","","CodeableConcept {[]} {[]}
","The disease that the vaccine targets.","The disease that the vaccine targets.","","","","","","","","","",,,,,"",,,,"antigen-supporting-data.targetDisease",0,1,"",""
"antigen-supporting-data.vaccineGroup","antigen-supporting-data.vaccineGroup","","","",0,1,"","","","CodeableConcept {[]} {[]}
","The vaccine group associated with the target disease.","The vaccine group associated with the target disease.","","","","","","","","","",,,,,"",,,,"antigen-supporting-data.vaccineGroup",0,1,"",""
"antigen-supporting-data.immunity","antigen-supporting-data.immunity","","","",0,1,"","","","BackboneElement {[]} {[]}
","Information about immunity from clinical history or birth data.","Information about immunity from clinical history or birth data.","","","","","","","","","",,,,,"",,,,"antigen-supporting-data.immunity",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"antigen-supporting-data.immunity.id","antigen-supporting-data.immunity.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"antigen-supporting-data.immunity.extension","antigen-supporting-data.immunity.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"antigen-supporting-data.immunity.modifierExtension","antigen-supporting-data.immunity.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"antigen-supporting-data.immunity.clinicalHistory","antigen-supporting-data.immunity.clinicalHistory","","","",0,*,"","","","BackboneElement {[]} {[]}
","List of clinical guidelines that describe circumstances of immunity.","List of clinical guidelines that describe circumstances of immunity.","","","","","","","","","",,,,,"",,,,"antigen-supporting-data.immunity.clinicalHistory",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"antigen-supporting-data.immunity.clinicalHistory.id","antigen-supporting-data.immunity.clinicalHistory.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"antigen-supporting-data.immunity.clinicalHistory.extension","antigen-supporting-data.immunity.clinicalHistory.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"antigen-supporting-data.immunity.clinicalHistory.modifierExtension","antigen-supporting-data.immunity.clinicalHistory.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"antigen-supporting-data.immunity.clinicalHistory.guidelineCode","antigen-supporting-data.immunity.clinicalHistory.guidelineCode","","","",1,1,"","","","string {[]} {[]}
","Code of the guideline.","Code of the guideline.","","","","","","","","","",,,,,"",,,,"antigen-supporting-data.immunity.clinicalHistory.guidelineCode",1,1,"",""
"antigen-supporting-data.immunity.clinicalHistory.guidelineTitle","antigen-supporting-data.immunity.clinicalHistory.guidelineTitle","","","",1,1,"","","","string {[]} {[]}
","Title of the guideline.","Title of the guideline.","","","","","","","","","",,,,,"",,,,"antigen-supporting-data.immunity.clinicalHistory.guidelineTitle",1,1,"",""
"antigen-supporting-data.immunity.dateOfBirth","antigen-supporting-data.immunity.dateOfBirth","","","",0,1,"","","","BackboneElement {[]} {[]}
","Birth date related immunity information.","Birth date related immunity information.","","","","","","","","","",,,,,"",,,,"antigen-supporting-data.immunity.dateOfBirth",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"antigen-supporting-data.immunity.dateOfBirth.id","antigen-supporting-data.immunity.dateOfBirth.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"antigen-supporting-data.immunity.dateOfBirth.extension","antigen-supporting-data.immunity.dateOfBirth.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"antigen-supporting-data.immunity.dateOfBirth.modifierExtension","antigen-supporting-data.immunity.dateOfBirth.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"antigen-supporting-data.immunity.dateOfBirth.immunityBirthDate","antigen-supporting-data.immunity.dateOfBirth.immunityBirthDate","","","",1,1,"","","","date {[]} {[]}
","Date conferring automatic immunity.","Date conferring automatic immunity.","","","","","","","","","",,,,,"",,,,"antigen-supporting-data.immunity.dateOfBirth.immunityBirthDate",1,1,"",""
"antigen-supporting-data.immunity.dateOfBirth.birthCountry","antigen-supporting-data.immunity.dateOfBirth.birthCountry","","","",1,1,"","","","string {[]} {[]}
","Country of birth relevant to immunity.","Country of birth relevant to immunity.","","","","","","","","","",,,,,"",,,,"antigen-supporting-data.immunity.dateOfBirth.birthCountry",1,1,"",""
"antigen-supporting-data.immunity.dateOfBirth.exclusion","antigen-supporting-data.immunity.dateOfBirth.exclusion","","","",0,*,"","","","BackboneElement {[]} {[]}
","Exclusions based on certain criteria.","Exclusions based on certain criteria.","","","","","","","","","",,,,,"",,,,"antigen-supporting-data.immunity.dateOfBirth.exclusion",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"antigen-supporting-data.immunity.dateOfBirth.exclusion.id","antigen-supporting-data.immunity.dateOfBirth.exclusion.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"antigen-supporting-data.immunity.dateOfBirth.exclusion.extension","antigen-supporting-data.immunity.dateOfBirth.exclusion.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"antigen-supporting-data.immunity.dateOfBirth.exclusion.modifierExtension","antigen-supporting-data.immunity.dateOfBirth.exclusion.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"antigen-supporting-data.immunity.dateOfBirth.exclusion.exclusionCode","antigen-supporting-data.immunity.dateOfBirth.exclusion.exclusionCode","","","",1,1,"","","","string {[]} {[]}
","Code for the exclusion criteria.","Code for the exclusion criteria.","","","","","","","","","",,,,,"",,,,"antigen-supporting-data.immunity.dateOfBirth.exclusion.exclusionCode",1,1,"",""
"antigen-supporting-data.immunity.dateOfBirth.exclusion.exclusionTitle","antigen-supporting-data.immunity.dateOfBirth.exclusion.exclusionTitle","","","",1,1,"","","","string {[]} {[]}
","Title of the exclusion criteria.","Title of the exclusion criteria.","","","","","","","","","",,,,,"",,,,"antigen-supporting-data.immunity.dateOfBirth.exclusion.exclusionTitle",1,1,"",""
"antigen-supporting-data.contraindications","antigen-supporting-data.contraindications","","","",0,1,"","","","BackboneElement {[]} {[]}
","Information about contraindications for the vaccine.","Information about contraindications for the vaccine.","","","","","","","","","",,,,,"",,,,"antigen-supporting-data.contraindications",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"antigen-supporting-data.contraindications.id","antigen-supporting-data.contraindications.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"antigen-supporting-data.contraindications.extension","antigen-supporting-data.contraindications.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
